Area,Centroid_1,Centroid_2,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,Eccentricity,Orientation,ConvexArea,EulerNumber,EquivDiameter,Extent,Perimeter,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,nuclei,meancents,class,ratio
2936,408.325613079019,655.790871934605,376.5,621.5,64,67,0.504793620330288,41.3605942834698,3121,1,61.1410770541576,0.684701492537313,207.684,408.455709691652,655.696830835035,0.935592757598274,1,0.000340599455040872,Mesenchymal,14.1368617707671
2815,446.977264653641,1000.78046181172,414.5,972.5,65,58,0.543335906660171,10.7806333051641,2975,0,59.867932304611,0.746684350132626,199.942,447.008566072037,1000.73303873075,0.937329334994539,1,0.000355239786856128,Mesenchymal,14.0790829340509
3756,487.44595314164,90.9627263045793,449.5,55.5,74,77,0.316779447747031,55.4166428581467,3925,1,69.1540868642286,0.659178659178659,231.958,487.475616592375,91.1008681016399,0.940383362491379,1,0.000266240681576145,Mesenchymal,16.1925865889514
444,465.529279279279,469.011261261261,453.5,456.5,24,24,0.32239574947388,61.9564508192882,448,1,23.7764244129014,0.770833333333333,73.002,465.524900919579,469.009393249581,0.981025337286262,1,0.00225225225225225,Mesenchymal,6.08202514999589
1717,503.099592312172,16.0972626674432,475.5,0.5,58,38,0.779040956811731,7.13883601893915,1771,1,46.7563075778047,0.779038112522686,162.972,503.213981967609,16.3029743162811,0.936037291236983,1,0.0005824111822947,Mesenchymal,10.5355521193825
2405,510.17130977131,612.02869022869,479.5,581.5,63,57,0.619579370552291,25.6991892365732,2545,1,55.3366163140471,0.669729880256196,187.372,510.229726962994,612.058105453534,0.936641713575808,1,0.000415800415800416,Mesenchymal,12.8354289861879
2876,524.634909596662,313.417941585535,489.5,283.5,68,62,0.769129468466274,39.0177112202549,2972,1,60.5131137081734,0.682163187855787,202.796,524.572138084436,313.457883252513,0.941751968319591,1,0.000347705146036161,Mesenchymal,14.1817392847985
2022,536.593471810089,654.026211671612,507.5,626.5,55,50,0.716666867810362,31.7988959468012,2102,1,50.7394359394593,0.735272727272727,168.44,536.626739376739,653.996756498917,0.94156883630997,1,0.000494559841740851,Mesenchymal,12.0042745191166
26333,658.873960429879,397.039684046634,524.5,303.5,244,211,0.794204997688167,-28.3657383379733,35362,-3,183.107118735212,0.511479294538109,956.84,658.729745658345,397.131195574697,0.918016255596841,6,0.000227850985455512,Mesenchymal,27.5207976255173
6752,584.413359004739,524.833678909953,530.5,474.5,101,104,0.730541317096946,-62.0082496038352,7751,0,92.7195416622182,0.642802741812643,368.722,584.453416135552,524.904447141763,0.93434222336796,2,0.000296208530805687,Mesenchymal,18.3118989374108
424,669.254716981132,1002,656.5,990.5,24,24,0.654570589327679,-45.4731480179224,426,1,23.2347491264207,0.736111111111111,71.894,669.25583725426,1001.98956830315,0.980113668226184,1,0.00235849056603774,Mesenchymal,5.89757142459732
1984,717.37247983871,593.447580645161,689.5,567.5,56,52,0.605753176242818,34.6168987945687,2049,1,50.2603945145137,0.681318681318681,162.586,717.418179981513,593.491312644764,0.941623308799147,1,0.000504032258064516,Mesenchymal,12.2027726864552
3634,739.862135388002,28.2267473858008,694.5,0.5,85,61,0.738337888434224,-27.1378985053071,3889,0,68.021706135377,0.700867888138862,241.747,739.670125184566,28.1192302764121,0.932735043106136,3,0.000825536598789213,Mesenchymal,15.0322444539126
3450,741.079130434783,107.062898550725,706.5,69.5,71,74,0.404263158163253,-53.9369670118179,3760,0,66.2772693261899,0.656642558051009,222.496,741.039575341292,107.003298659526,0.938544234966799,1,0.000289855072463768,Mesenchymal,15.5058967352222
5527,803.644653519088,584.775104034739,755.5,544.5,103,81,0.801037151494746,26.2684635941246,5937,0,83.8879905811985,0.662471533021695,291.32,803.627652129548,584.756182598347,0.936236814700087,1,0.000180929980097702,Mesenchymal,18.9722641768502
